substanceBXH,gene_symbol
BRDT,BRDT
BRPF3,BRPF3
BSDC1,BSDC1
BSND,BSND
BSPH1,BSPH1
BST1,BST1
BTBD19,BTBD19
BTN3A1,BTN3A1
BUB1,BUB1
BUB1B,BUB1B
C4B,C4B
C7,C7
C8A,C8A
CA9,CA9
CABP2,CABP2
CABP5,CABP5
CACNA1A,CACNA1A
CACNA1F,CACNA1F
CACNA1I,CACNA1I
CACNB1,CACNB1
CACNB4,CACNB4
CACNG1,CACNG1
CACNG4,CACNG4
CACNG6,CACNG6
CACNG8,CACNG8
CADPS,CADPS
CALB1,CALB1
CALD1,CALD1
CALHM2,CALHM2
CALM1,CALM1
CALR,CALR
CAMTA2,CAMTA2
CAND1,CAND1
CAPG,CAPG
CAPNS2,CAPNS2
CARS,CARS
CASC3,CASC3
CASP1,CASP1
CASP4,CASP4
CASQ2,CASQ2
CATSPER1,CATSPER1
CATSPERB,CATSPERB
CBR4,CBR4
CBY1,CBY1
CCDC11,CCDC11
CCDC110,CCDC110
CCDC111,CCDC111
CCDC113,CCDC113
CCDC12,CCDC12
CCDC120,CCDC120
CCDC138,CCDC138
CCDC141,CCDC141
CCDC151,CCDC151
CCDC24,CCDC24
CCDC28A,CCDC28A
CCDC3,CCDC3
CCDC30,CCDC30
CCDC38,CCDC38
CCDC43,CCDC43
CCDC50,CCDC50
CCDC62,CCDC62
CCDC68,CCDC68
CCDC71,CCDC71
CCDC73,CCDC73
CCDC82,CCDC82
CCDC93,CCDC93
CCHCR1,CCHCR1
CCKAR,CCKAR
CCL13,CCL13
CCL15,CCL15
CCL18,CCL18
CCL19,CCL19
CCL22,CCL22
CCL26,CCL26
CCL28,CCL28
CCL4,CCL4
CCNA2,CCNA2
CCNB1,CCNB1
CCND3,CCND3
CCNE1,CCNE1
CCNI,CCNI
CCNYL1,CCNYL1
CCP110,CCP110
CCR1,CCR1
CCR10,CCR10
CCT2,CCT2
CD151,CD151
CD163,CD163
CD163L1,CD163L1
CD274,CD274
CD300C,CD300C
CD300LB,CD300LB
CD300LD,CD300LD
CD300LF,CD300LF
CD320,CD320
CD36,CD36
CD38,CD38
CD3E,CD3E
CD3G,CD3G
CD40LG,CD40LG
CD48,CD48
CD6,CD6
CD70,CD70
CD79B,CD79B
CD81,CD81
CD9,CD9
CDA,CDA
CDC25B,CDC25B
CDC37,CDC37
CDC42BPG,CDC42BPG
CDC42EP3,CDC42EP3
CDCA8,CDCA8
CDH10,CDH10
CDH16,CDH16
CDH18,CDH18
CDH19,CDH19
CDH8,CDH8
CDHR4,CDHR4
CDK2,CDK2
CDK7,CDK7
CDKL5,CDKL5
CDKN2A,CDKN2A
CDKN2C,CDKN2C
CDNF,CDNF
CDR2,CDR2
CDR2L,CDR2L
CDX2,CDX2
CDY2A,CDY2A
CEACAM4,CEACAM4
CEACAM5,CEACAM5
CEBPB,CEBPB
CELA2B,CELA2B
CELF4,CELF4
CEND1,CEND1
CENPE,CENPE
CENPT,CENPT
CEP152,CEP152
CEP19,CEP19
CEP57,CEP57
CEP72,CEP72
CEP78,CEP78
CEP97,CEP97
CER1,CER1
CERK,CERK
CERKL,CERKL
CERS5,CERS5
CES3,CES3
CES4A,CES4A
CFD,CFD
CFL2,CFL2
CGA,CGA
CGB,CGB
CGGBP1,CGGBP1
CGRRF1,CGRRF1
CH25H,CH25H
CHCHD10,CHCHD10
CHCHD4,CHCHD4
CHCHD6,CHCHD6
CHGB,CHGB
CHI3L2,CHI3L2
CHL1,CHL1
CHML,CHML
CHPF2,CHPF2
CHPT1,CHPT1
CHRM5,CHRM5
CHRNA5,CHRNA5
CHRNB2,CHRNB2
CHRNB3,CHRNB3
CHST13,CHST13
CHST5,CHST5
CHSY3,CHSY3
CHUK,CHUK
CIB1,CIB1
CIB4,CIB4
CIDEA,CIDEA
CILP2,CILP2
CIR1,CIR1
CKAP2L,CKAP2L
CKM,CKM
CLCF1,CLCF1
CLCN1,CLCN1
CLCNKA,CLCNKA
CLDN16,CLDN16
CLDN23,CLDN23
CLEC12A,CLEC12A
CLEC12B,CLEC12B
CLEC17A,CLEC17A
CLEC3A,CLEC3A
CLEC3B,CLEC3B
CLEC6A,CLEC6A
CLEC9A,CLEC9A
CLECL1,CLECL1
CLGN,CLGN
CLK2,CLK2
CLSTN1,CLSTN1
CLTC,CLTC
CLVS1,CLVS1
CLVS2,CLVS2
CMIP,CMIP
CMTM1,CMTM1
CNDP1,CNDP1
CNGA4,CNGA4
CNKSR3,CNKSR3
CNN3,CNN3
CNNM3,CNNM3
CNPY4,CNPY4
CNR2,CNR2
CNTF,CNTF
COG3,COG3
COL10A1,COL10A1
COL17A1,COL17A1
COL20A1,COL20A1
COL21A1,COL21A1
COL24A1,COL24A1
COL25A1,COL25A1
COL3A1,COL3A1
COL4A5,COL4A5
COL5A3,COL5A3
COL6A5,COL6A5
COL6A6,COL6A6
COL7A1,COL7A1
COL9A2,COL9A2
COMMD2,COMMD2
COMMD5,COMMD5
COMMD7,COMMD7
COPG2,COPG2
COPS3,COPS3
COQ4,COQ4
CORO1B,CORO1B
CORO1C,CORO1C
CORO2B,CORO2B
CORT,CORT
COX18,COX18
COX19,COX19
COX3,COX3
COX4NB,COX4NB
COX5B,COX5B
COX6A2,COX6A2
COX7A1,COX7A1
COX7B,COX7B
COX7B2,COX7B2
COX7C,COX7C
COX8A,COX8A
CPA3,CPA3
CPEB2,CPEB2
CPEB3,CPEB3
CPN1,CPN1
CPNE3,CPNE3
CPOX,CPOX
CPSF1,CPSF1
CPSF3,CPSF3
CPSF4,CPSF4
CPT2,CPT2
CPXM2,CPXM2
CPZ,CPZ
CR1,CR1
CRADD,CRADD
CRB2,CRB2
CREB5,CREB5
CRELD2,CRELD2
CRIP2,CRIP2
CRIPAK,CRIPAK
CRISP2,CRISP2
CRK,CRK
CRNKL1,CRNKL1
CRNN,CRNN
CROT,CROT
CRTAP,CRTAP
CRTC2,CRTC2
CRYBA2,CRYBA2
CRYBB3,CRYBB3
CRYM,CRYM
CSAD,CSAD
CSF1R,CSF1R
CSHL1,CSHL1
CSK,CSK
CSRNP2,CSRNP2
CSRP2BP,CSRP2BP
CST11,CST11
CST2,CST2
CST5,CST5
CST9L,CST9L
CT45A5,CT45A5
CTAGE15P,CTAGE15P
CTBP1,CTBP1
CTCF,CTCF
CTNNB1,CTNNB1
CTRB1,CTRB1
CTRL,CTRL
CX3CR1,CX3CR1
CXCL11,CXCL11
CXCL16,CXCL16
CXCR5,CXCR5
CXCR7,CXCR7
CXorf41,CXorf41
CXorf64,CXorf64
CXorf65,CXorf65
CXXC5,CXXC5
CYB5R1,CYB5R1
CYBB,CYBB
CYLC1,CYLC1
CYP20A1,CYP20A1
CYP26B1,CYP26B1
CYP2C19,CYP2C19
CYP2C8,CYP2C8
CYP2C9,CYP2C9
CYP2E1,CYP2E1
CYP4F22,CYP4F22
CYP4F3,CYP4F3
CYP4Z2P,CYP4Z2P
CYSLTR1,CYSLTR1
D4S234E,D4S234E
DACH2,DACH2
DACT1,DACT1
DAO,DAO
DAPK2,DAPK2
DAZL,DAZL
DBI,DBI
DBN1,DBN1
DBNDD1,DBNDD1
DCAF12L2,DCAF12L2
DCAF4,DCAF4
DCC,DCC
DCDC2B,DCDC2B
DCHS1,DCHS1
DCLRE1B,DCLRE1B
DCP1B,DCP1B
DCT,DCT
DCUN1D4,DCUN1D4
DDO,DDO
DDX1,DDX1
DDX19A,DDX19A
DDX49,DDX49
DDX54,DDX54
DDX59,DDX59
DECR1,DECR1
DEDD,DEDD
DEDD2,DEDD2
DEFB110,DEFB110
DEFB121,DEFB121
DEFB136,DEFB136
DEK,DEK
DEM1,DEM1
DFNB59,DFNB59
DGKD,DGKD
DGKK,DGKK
DHPS,DHPS
DHRS9,DHRS9
DHRSX,DHRSX
DHTKD1,DHTKD1
DHX33,DHX33
DHX8,DHX8
DIAPH2,DIAPH2
DICER1,DICER1
DIRAS2,DIRAS2
DIRAS3,DIRAS3
DKFZp564H213,DKFZp564H213
DKFZp667F0711,DKFZp667F0711
DLEC1,DLEC1
DLEU7,DLEU7
DLG3,DLG3
DLGAP3,DLGAP3
DLL3,DLL3
DLST,DLST
DMP1,DMP1
DMRT2,DMRT2
DMRT3,DMRT3
DMRTC1,DMRTC1
DMXL1,DMXL1
DNAJB3,DNAJB3
DNAJB4,DNAJB4
DNAJB8,DNAJB8
DNAJB9,DNAJB9
DNAJC13,DNAJC13
DNAJC19,DNAJC19
DNAJC22,DNAJC22
DNAJC5G,DNAJC5G
DNAJC7,DNAJC7
DNAJC8,DNAJC8
DNALI1,DNALI1
DNASE1,DNASE1
DNASE2,DNASE2
DNASE2B,DNASE2B
DOCK3,DOCK3
DOCK4,DOCK4
DOM3Z,DOM3Z
DPF1,DPF1
DPF2,DPF2
DPY19L3,DPY19L3
DPYS,DPYS
DPYSL2,DPYSL2
DPYSL3,DPYSL3
DRD1,DRD1
DSC2,DSC2
DSE,DSE
DTD1,DTD1
DTNBP1,DTNBP1
DTWD2,DTWD2
DTX3,DTX3
DUOX1,DUOX1
DUOXA1,DUOXA1
DUS2L,DUS2L
DUS4L,DUS4L
DUSP1,DUSP1
DUSP18,DUSP18
DUSP2,DUSP2
DUSP9,DUSP9
DUX3,DUX3
DVL3,DVL3
DYNC1H1,DYNC1H1
DYNC1LI1,DYNC1LI1
E2F1,E2F1
E2F2,E2F2
E2F4,E2F4
E2F5,E2F5
EAF2,EAF2
