substanceBXH,gene_symbol
IGANRP,IGANRP
IGFALS,IGFALS
IGFBP4,IGFBP4
IGFBP6,IGFBP6
IGFBP7,IGFBP7
IGFL4,IGFL4
IGIP,IGIP
IGJ,IGJ
IGSF10,IGSF10
IGSF11,IGSF11
IL10,IL10
IL11RA,IL11RA
IL12RB1,IL12RB1
IL12RB2,IL12RB2
IL13,IL13
IL17RD,IL17RD
IL18,IL18
IL18BP,IL18BP
IL1RL2,IL1RL2
IL20,IL20
IL20RB,IL20RB
IL21R,IL21R
IL23A,IL23A
IL31,IL31
IL36RN,IL36RN
IL4R,IL4R
IL7R,IL7R
ILK,ILK
IMP3,IMP3
IMPACT,IMPACT
IMPDH1,IMPDH1
INADL,INADL
ING2,ING2
INHBC,INHBC
INO80C,INO80C
INPP5K,INPP5K
INSIG1,INSIG1
INS-IGF2,INS-IGF2
INSL5,INSL5
INSM1,INSM1
INSM2,INSM2
INTS12,INTS12
INTS3,INTS3
INTS9,INTS9
IPCEF1,IPCEF1
IPO11,IPO11
IQCC,IQCC
IQCF1,IQCF1
IQCF2,IQCF2
IQGAP2,IQGAP2
IRAK1BP1,IRAK1BP1
IRAK4,IRAK4
IRF2,IRF2
IRS4,IRS4
ISL1,ISL1
ISL2,ISL2
ISLR2,ISLR2
ISM1,ISM1
ISPD,ISPD
ISY1-RAB43,ISY1-RAB43
ITFG1,ITFG1
ITGA11,ITGA11
ITGA2,ITGA2
ITGA3,ITGA3
ITGB3,ITGB3
ITGB8,ITGB8
ITGBL1,ITGBL1
ITIH3,ITIH3
ITK,ITK
ITPKA,ITPKA
ITPRIPL1,ITPRIPL1
JAZF1,JAZF1
JOSD1,JOSD1
KANK2,KANK2
KANSL3,KANSL3
KAT2B,KAT2B
KAT5,KAT5
KATNAL1,KATNAL1
KBTBD6,KBTBD6
KCNA10,KCNA10
KCNA7,KCNA7
KCNAB1,KCNAB1
KCNAB3,KCNAB3
KCNG2,KCNG2
KCNG4,KCNG4
KCNH1,KCNH1
KCNIP1,KCNIP1
KCNIP3,KCNIP3
KCNJ1,KCNJ1
KCNJ11,KCNJ11
KCNJ12,KCNJ12
KCNJ2,KCNJ2
KCNJ4,KCNJ4
KCNJ5,KCNJ5
KCNJ8,KCNJ8
KCNK13,KCNK13
KCNK16,KCNK16
KCNK5,KCNK5
KCNK6,KCNK6
KCNK7,KCNK7
KCNK9,KCNK9
KCNN4,KCNN4
KCNS1,KCNS1
KCNS2,KCNS2
KCTD11,KCTD11
KCTD2,KCTD2
KDELC1,KDELC1
KDELR1,KDELR1
KDELR2,KDELR2
KDELR3,KDELR3
KDM3B,KDM3B
KDM6B,KDM6B
KHNYN,KHNYN
KIAA0100,KIAA0100
KIAA0226L,KIAA0226L
KIAA0232,KIAA0232
KIAA0284,KIAA0284
KIAA0319,KIAA0319
KIAA0368,KIAA0368
KIAA0895,KIAA0895
KIAA0913,KIAA0913
KIAA0922,KIAA0922
KIAA0947,KIAA0947
KIAA1009,KIAA1009
KIAA1143,KIAA1143
KIAA1377,KIAA1377
KIAA1383,KIAA1383
KIAA1456,KIAA1456
KIAA1467,KIAA1467
KIAA1468,KIAA1468
KIAA1530,KIAA1530
KIAA1598,KIAA1598
KIAA1614,KIAA1614
KIAA1751,KIAA1751
KIAA1797,KIAA1797
KIAA2013,KIAA2013
KIF13A,KIF13A
KIF9,KIF9
KIFC2,KIFC2
KIN,KIN
KIR2DS3,KIR2DS3
KIR3DL3,KIR3DL3
KIRREL,KIRREL
KISS1R,KISS1R
KLF13,KLF13
KLF4,KLF4
KLHDC5,KLHDC5
KLHDC8A,KLHDC8A
KLHDC9,KLHDC9
KLHL12,KLHL12
KLHL15,KLHL15
KLHL2,KLHL2
KLHL22,KLHL22
KLHL31,KLHL31
KLHL34,KLHL34
KLHL38,KLHL38
KLHL8,KLHL8
KLHL9,KLHL9
KLLN,KLLN
KLRD1,KLRD1
KLRF2,KLRF2
KNCN,KNCN
KRBA2,KRBA2
KRBOX1,KRBOX1
KRI1,KRI1
KRT19,KRT19
KRT20,KRT20
KRT24,KRT24
KRT31,KRT31
KRT6B,KRT6B
KRT71,KRT71
KRT77,KRT77
KRT78,KRT78
KRT81,KRT81
KRT84,KRT84
KRTAP10-5,KRTAP10-5
KRTAP10-7,KRTAP10-7
KRTAP11-1,KRTAP11-1
KRTAP19-1,KRTAP19-1
KRTAP19-7,KRTAP19-7
KRTAP2-1,KRTAP2-1
KRTAP21-3,KRTAP21-3
KRTAP22-1,KRTAP22-1
KRTAP23-1,KRTAP23-1
KRTAP3-1,KRTAP3-1
KRTAP4-2,KRTAP4-2
KRTAP4-5,KRTAP4-5
KRTAP5-10,KRTAP5-10
KRTAP5-5,KRTAP5-5
KRTAP5-9,KRTAP5-9
L1TD1,L1TD1
L3MBTL3,L3MBTL3
LACTB2,LACTB2
LALBA,LALBA
LANCL2,LANCL2
LAPTM4A,LAPTM4A
LARP1,LARP1
LAX1,LAX1
LBR,LBR
LCE2A,LCE2A
LCE2C,LCE2C
LCMT2,LCMT2
LCN10,LCN10
LCN12,LCN12
LCN6,LCN6
LCP2,LCP2
LDHC,LDHC
LDOC1,LDOC1
LELP1,LELP1
LENEP,LENEP
LEP,LEP
LEPRE1,LEPRE1
LEPREL4,LEPREL4
LETM1,LETM1
LETM2,LETM2
LGALS1,LGALS1
LGALS3BP,LGALS3BP
LHB,LHB
LHFPL5,LHFPL5
LHX2,LHX2
LHX4,LHX4
LHX5,LHX5
LIFR,LIFR
LILRA5,LILRA5
LILRB1,LILRB1
LILRB2,LILRB2
LIMA1,LIMA1
LIN28A,LIN28A
LINC00302,LINC00302
LINC00483,LINC00483
LIPF,LIPF
LIPG,LIPG
LIPH,LIPH
LMAN2L,LMAN2L
LMCD1,LMCD1
LMF1,LMF1
LMO3,LMO3
LONP1,LONP1
LONRF1,LONRF1
LOXHD1,LOXHD1
LPAR5,LPAR5
LPAR6,LPAR6
LPGAT1,LPGAT1
LPHN1,LPHN1
LPIN2,LPIN2
LPL,LPL
LPPR3,LPPR3
LPPR4,LPPR4
LRAT,LRAT
LRCH1,LRCH1
LRFN1,LRFN1
LRFN3,LRFN3
LRG1,LRG1
LRP10,LRP10
LRP1B,LRP1B
LRP2BP,LRP2BP
LRRC10B,LRRC10B
LRRC16B,LRRC16B
LRRC20,LRRC20
LRRC26,LRRC26
LRRC37A2,LRRC37A2
LRRC47,LRRC47
LRRC4C,LRRC4C
LRRC52,LRRC52
LRRC55,LRRC55
LRRC56,LRRC56
LRRC61,LRRC61
LRRC8E,LRRC8E
LRRCC1,LRRCC1
LRRN2,LRRN2
LRRN4CL,LRRN4CL
LRWD1,LRWD1
LSAMP,LSAMP
LSG1,LSG1
LSM3,LSM3
LSM4,LSM4
LST1,LST1
LTB,LTB
LTC4S,LTC4S
LUC7L2,LUC7L2
LUZP4,LUZP4
LUZP6,LUZP6
LXN,LXN
LY6G5B,LY6G5B
LY6G5C,LY6G5C
LY86,LY86
LYG2,LYG2
LYNX1,LYNX1
LYPD2,LYPD2
LYPD6,LYPD6
LYRM5,LYRM5
LYRM7,LYRM7
LYSMD2,LYSMD2
LYSMD3,LYSMD3
LYZL4,LYZL4
MAB21L1,MAB21L1
MACC1,MACC1
MAD2L1BP,MAD2L1BP
MAD2L2,MAD2L2
MAF,MAF
MAFG,MAFG
MAGEA4,MAGEA4
MAGEB10,MAGEB10
MAGEB2,MAGEB2
MAGEF1,MAGEF1
MALT1,MALT1
MAN2A1,MAN2A1
MANEAL,MANEAL
MAP3K5,MAP3K5
MAP3K6,MAP3K6
MAP4K2,MAP4K2
MAP4K3,MAP4K3
MAP6D1,MAP6D1
MAP7,MAP7
MAPK7,MAPK7
MAPK8IP3,MAPK8IP3
MAPKAPK2,MAPKAPK2
MAPRE2,MAPRE2
MAPRE3,MAPRE3
MAST1,MAST1
MASTL,MASTL
MATK,MATK
MATN4,MATN4
MB21D2,MB21D2
MBOAT1,MBOAT1
MBTPS1,MBTPS1
MC3R,MC3R
MC5R,MC5R
MCART6,MCART6
MCCC2,MCCC2
MCEE,MCEE
MCHR1,MCHR1
MCM2,MCM2
MCM3,MCM3
MCOLN2,MCOLN2
MCU,MCU
MDH1B,MDH1B
MED11,MED11
MED16,MED16
MED17,MED17
MED22,MED22
MED25,MED25
MED26,MED26
MED28,MED28
MED4,MED4
MED6,MED6
MED7,MED7
MED9,MED9
MEF2D,MEF2D
MEFV,MEFV
MEIG1,MEIG1
MEIS1,MEIS1
MEIS3,MEIS3
MESDC1,MESDC1
MESDC2,MESDC2
MESP2,MESP2
METRNL,METRNL
METTL18,METTL18
METTL22,METTL22
METTL2A,METTL2A
METTL7A,METTL7A
MEX3B,MEX3B
MFAP1,MFAP1
MFAP2,MFAP2
MFAP4,MFAP4
MFN1,MFN1
MFNG,MFNG
MGAT3,MGAT3
MICALCL,MICALCL
MID1IP1,MID1IP1
MIPOL1,MIPOL1
MIS12,MIS12
MITD1,MITD1
MKI67IP,MKI67IP
MKKS,MKKS
MKLN1,MKLN1
MKRN2,MKRN2
MLF1IP,MLF1IP
MLF2,MLF2
MLLT6,MLLT6
MMACHC,MMACHC
MMGT1,MMGT1
MMP12,MMP12
MMP20,MMP20
MMP9,MMP9
MOB3A,MOB3A
MOB3C,MOB3C
MORC2,MORC2
MPG,MPG
MPND,MPND
MPP6,MPP6
MRE11A,MRE11A
MRGPRD,MRGPRD
MRI1,MRI1
MRP63,MRP63
MRPL12,MRPL12
MRPL2,MRPL2
MRPL24,MRPL24
MRPL33,MRPL33
MRPL34,MRPL34
MRPL36,MRPL36
MRPL9,MRPL9
MRPS18A,MRPS18A
MRPS21,MRPS21
MRPS30,MRPS30
MRPS31,MRPS31
MRPS35,MRPS35
MRPS6,MRPS6
MS4A4A,MS4A4A
MS4A6E,MS4A6E
MSGN1,MSGN1
MSH6,MSH6
MSL1,MSL1
MSMB,MSMB
MSN,MSN
MST152,MST152
MT1F,MT1F
MT1G,MT1G
MT1H,MT1H
MT3,MT3
MTCP1,MTCP1
MTCP1NB,MTCP1NB
MTF1,MTF1
MTFMT,MTFMT
MTFP1,MTFP1
MTHFSD,MTHFSD
MTIF2,MTIF2
MTMR6,MTMR6
MTMR9,MTMR9
MTNR1B,MTNR1B
MTO1,MTO1
MTPAP,MTPAP
MTPN,MTPN
MTRNR2L6,MTRNR2L6
MTRNR2L7,MTRNR2L7
MTRNR2L9,MTRNR2L9
MTX1,MTX1
MUC19,MUC19
MUSTN1,MUSTN1
MVP,MVP
MX1,MX1
MYADML2,MYADML2
MYBL1,MYBL1
MYBL2,MYBL2
MYBPH,MYBPH
MYF6,MYF6
MYH1,MYH1
MYH9,MYH9
MYL12A,MYL12A
MYL3,MYL3
MYL5,MYL5
MYL9,MYL9
MYO18B,MYO18B
MYO1C,MYO1C
MYO3A,MYO3A
MYO5A,MYO5A
MYO5C,MYO5C
MYOG,MYOG
MYOM1,MYOM1
MYOT,MYOT
MYPOP,MYPOP
N6AMT2,N6AMT2
NAA11,NAA11
NAA20,NAA20
NAA38,NAA38
NAA50,NAA50
NACC1,NACC1
NADKD1,NADKD1
NADSYN1,NADSYN1
NAGA,NAGA
NAGPA,NAGPA
NAIF1,NAIF1
NANOG,NANOG
NANOGNB,NANOGNB
NANS,NANS
NAPA,NAPA
NAPEPLD,NAPEPLD
NARG2,NARG2
NAT1,NAT1
NAT9,NAT9
NAV3,NAV3
NCDN,NCDN
NCEH1,NCEH1
NCF2,NCF2
NCK1,NCK1
NCL,NCL
NCOA3,NCOA3
NCR3,NCR3
NCS1,NCS1
ND5,ND5
NDRG4,NDRG4
NDUFA10,NDUFA10
NDUFA11,NDUFA11
NDUFA13,NDUFA13
NDUFA4,NDUFA4
NDUFAF3,NDUFAF3
NDUFB5,NDUFB5
NDUFC1,NDUFC1
NDUFC2,NDUFC2
NDUFS5,NDUFS5
NDUFS6,NDUFS6
NDUFV3,NDUFV3
NECAB1,NECAB1
NECAB2,NECAB2
NECAP2,NECAP2
NEDD1,NEDD1
NEDD8,NEDD8
NEFL,NEFL
NEIL3,NEIL3
NES,NES
NEURL,NEURL
NEURL4,NEURL4
NEUROD4,NEUROD4
NFAT5,NFAT5
NFKB2,NFKB2
NFKBIA,NFKBIA
NGLY1,NGLY1
NGRN,NGRN
NHEJ1,NHEJ1
NHLH1,NHLH1
NIT1,NIT1
NKAP,NKAP
NKX1-2,NKX1-2
NKX2-1,NKX2-1
NKX2-5,NKX2-5
NKX6-1,NKX6-1
NLE1,NLE1
NLRP10,NLRP10
NLRP11,NLRP11
NLRP12,NLRP12
NLRP2,NLRP2
NLRP9,NLRP9
NME2,NME2
NMNAT2,NMNAT2
NMNAT3,NMNAT3
NMRAL1,NMRAL1
NMT1,NMT1
NOA1,NOA1
NOD1,NOD1
NOL3,NOL3
NOL9,NOL9
NOLC1,NOLC1
NOTO,NOTO
NOX5,NOX5
NPAS4,NPAS4
NPB,NPB
NPBWR2,NPBWR2
NPC1,NPC1
NPDC1,NPDC1
NPHP4,NPHP4
NPR2,NPR2
NPTX1,NPTX1
NR1D1,NR1D1
NR1H2,NR1H2
NR1H4,NR1H4
NR2C1,NR2C1
NR5A2,NR5A2
NRIP2,NRIP2
NRN1,NRN1
NRN1L,NRN1L
NSL1,NSL1
NSUN2,NSUN2
NSUN3,NSUN3
NSUN6,NSUN6
NT5C,NT5C
NT5C1A,NT5C1A
NT5DC3,NT5DC3
NT5M,NT5M
NTF4,NTF4
NTN3,NTN3
NTSR1,NTSR1
NUB1,NUB1
NUCB2,NUCB2
NUDC,NUDC
NUDCD1,NUDCD1
NUDT12,NUDT12
NUDT15,NUDT15
NUDT2,NUDT2
NUF2,NUF2
NUFIP2,NUFIP2
NUP107,NUP107
NUP210L,NUP210L
NUP54,NUP54
NUP88,NUP88
NXF2,NXF2
NXF3,NXF3
OAF,OAF
OAS3,OAS3
OAT,OAT
OAZ1,OAZ1
OAZ3,OAZ3
OBP2B,OBP2B
OCEL1,OCEL1
OCIAD2,OCIAD2
OCM2,OCM2
ODF2L,ODF2L
ODF3L2,ODF3L2
ODZ3,ODZ3
OGT,OGT
OIP5,OIP5
OIT3,OIT3
OLFML1,OLFML1
OLIG3,OLIG3
OMD,OMD
OMP,OMP
ONECUT2,ONECUT2
OOEP,OOEP
OPCML,OPCML
OPN1SW,OPN1SW
OPRD1,OPRD1
OPTC,OPTC
OR10A3,OR10A3
OR10A5,OR10A5
OR10C1,OR10C1
OR10G2,OR10G2
OR10H1,OR10H1
OR10H2,OR10H2
OR10J5,OR10J5
OR10T2,OR10T2
OR13A1,OR13A1
OR13C2,OR13C2
OR13C4,OR13C4
OR13F1,OR13F1
OR13H1,OR13H1
OR13J1,OR13J1
OR1A2,OR1A2
OR1D5,OR1D5
OR1G1,OR1G1
OR1L1,OR1L1
OR1L6,OR1L6
OR1Q1,OR1Q1
OR2A14,OR2A14
OR2A42,OR2A42
OR2B2,OR2B2
OR2D3,OR2D3
OR2J2,OR2J2
OR2M2,OR2M2
OR2M7,OR2M7
OR2T27,OR2T27
OR2T6,OR2T6
OR2Y1,OR2Y1
OR4A15,OR4A15
OR4C11,OR4C11
OR4C16,OR4C16
OR4C6,OR4C6
OR4F15,OR4F15
OR4F21,OR4F21
OR4F29,OR4F29
OR4K13,OR4K13
OR4K15,OR4K15
OR4M1,OR4M1
OR51D1,OR51D1
OR51T1,OR51T1
OR51V1,OR51V1
OR52A1,OR52A1
OR52E4,OR52E4
OR52N1,OR52N1
OR52N2,OR52N2
OR52N5,OR52N5
OR56A5,OR56A5
OR5AP2,OR5AP2
OR5I1,OR5I1
OR5P2,OR5P2
OR6B1,OR6B1
OR6B3,OR6B3
OR6C68,OR6C68
OR6C75,OR6C75
OR6K3,OR6K3
OR6K6,OR6K6
OR6P1,OR6P1
OR7C2,OR7C2
OR7E24,OR7E24
OR8B3,OR8B3
OR8D1,OR8D1
OR8G1,OR8G1
OR8G2,OR8G2
OR8G5,OR8G5
OR8K1,OR8K1
OR8K3,OR8K3
OR8K5,OR8K5
OR9I1,OR9I1
ORC2,ORC2
ORC3,ORC3
OSBPL11,OSBPL11
OSGIN1,OSGIN1
OSGIN2,OSGIN2
OSR2,OSR2
OTC,OTC
OTOL1,OTOL1
OTP,OTP
OTUB1,OTUB1
OTUD3,OTUD3
OTUD6A,OTUD6A
OTUD6B,OTUD6B
OTX2,OTX2
OVCH1,OVCH1
OVOL2,OVOL2
OXCT2,OXCT2
OXNAD1,OXNAD1
P2RY6,P2RY6
P2RY8,P2RY8
P4HA2,P4HA2
PABPC1L,PABPC1L
PABPC5,PABPC5
PACRG,PACRG
PACS2,PACS2
PACSIN1,PACSIN1
PACSIN3,PACSIN3
PAF1,PAF1
PAFAH1B3,PAFAH1B3
PAK6,PAK6
PAK7,PAK7
PALM2,PALM2
PAPD7,PAPD7
PAPOLG,PAPOLG
PAPPA2,PAPPA2
PAQR4,PAQR4
PARK7,PARK7
PARM1,PARM1
PARN,PARN
PARP2,PARP2
PARVG,PARVG
PATL1,PATL1
PCBD1,PCBD1
PCDH12,PCDH12
PCDH20,PCDH20
PCDHA8,PCDHA8
PCDHAC1,PCDHAC1
PCDHB10,PCDHB10
PCDHB12,PCDHB12
PCDHB14,PCDHB14
PCDHB8,PCDHB8
PCDHGA12,PCDHGA12
PCDHGA2,PCDHGA2
PCDHGA9,PCDHGA9
PCDHGB3,PCDHGB3
PCGF6,PCGF6
PCNX,PCNX
PCOLCE2,PCOLCE2
PCTP,PCTP
PDE3B,PDE3B
PDE6A,PDE6A
PDE6D,PDE6D
PDGFRA,PDGFRA
PDHA2,PDHA2
PDHX,PDHX
PDK3,PDK3
PDLIM1,PDLIM1
PDP2,PDP2
PDXDC1,PDXDC1
PDXP,PDXP
PDZD8,PDZD8
PECR,PECR
PEG3,PEG3
PEMT,PEMT
PEX11B,PEX11B
PEX11G,PEX11G
PFDN1,PFDN1
PFKP,PFKP
PFN1,PFN1
PFN2,PFN2
PGAM5,PGAM5
PGAP2,PGAP2
PGBD1,PGBD1
PGBD3,PGBD3
PGK2,PGK2
PGLYRP2,PGLYRP2
PGLYRP4,PGLYRP4
PHF13,PHF13
PHF5A,PHF5A
PHKB,PHKB
PHLDA3,PHLDA3
PHOSPHO2-KLHL23,PHOSPHO2-KLHL23
PHRF1,PHRF1
PHTF2,PHTF2
PHYHIP,PHYHIP
PHYHIPL,PHYHIPL
PI16,PI16
PI4K2B,PI4K2B
PIF1,PIF1
PIGG,PIGG
PIGO,PIGO
PIGZ,PIGZ
PIH1D2,PIH1D2
PIK3C2B,PIK3C2B
PIK3IP1,PIK3IP1
PIK3R5,PIK3R5
PINK1,PINK1
PIP4K2A,PIP4K2A
PIP5K1C,PIP5K1C
PIRT,PIRT
PISD,PISD
PITHD1,PITHD1
PITPNM1,PITPNM1
PITX2,PITX2
PJA2,PJA2
PKD1L1,PKD1L1
PKHD1L1,PKHD1L1
PKIA,PKIA
PKM2,PKM2
PLA1A,PLA1A
PLA2G1B,PLA2G1B
PLA2G2F,PLA2G2F
PLA2G3,PLA2G3
PLA2G5,PLA2G5
PLA2G6,PLA2G6
PLA2G7,PLA2G7
PLAC1,PLAC1
PLAC4,PLAC4
PLAT,PLAT
PLAUR,PLAUR
PLBD2,PLBD2
PLCB2,PLCB2
PLCG2,PLCG2
PLCXD2,PLCXD2
PLD1,PLD1
PLEK2,PLEK2
PLEKHH1,PLEKHH1
PLEKHJ1,PLEKHJ1
PLIN1,PLIN1
PLIN5,PLIN5
PLK4,PLK4
PLP2,PLP2
PLRG1,PLRG1
PLS1,PLS1
PLS3,PLS3
PLSCR1,PLSCR1
PLXNA1,PLXNA1
PLXND1,PLXND1
PM20D2,PM20D2
PMPCB,PMPCB
PNLIP,PNLIP
PNLIPRP1,PNLIPRP1
PNMA2,PNMA2
PNMA3,PNMA3
PNMA6A,PNMA6A
PNMA6C,PNMA6C
PNO1,PNO1
PNPLA8,PNPLA8
PNPO,PNPO
POC1B,POC1B
POLE2,POLE2
POLM,POLM
POLN,POLN
POLR1C,POLR1C
POLR2B,POLR2B
POLR2C,POLR2C
POLR2L,POLR2L
POLR3G,POLR3G
POLR3K,POLR3K
POMGNT1,POMGNT1
POMZP3,POMZP3
POP1,POP1
POP5,POP5
POTEB,POTEB
POU2F1,POU2F1
POU4F3,POU4F3
PPAP2C,PPAP2C
PPAPDC2,PPAPDC2
PPCDC,PPCDC
PPCS,PPCS
PPEF1,PPEF1
PPEF2,PPEF2
PPIL1,PPIL1
PPM1G,PPM1G
PPOX,PPOX
PPP1CA,PPP1CA
PPP1R10,PPP1R10
PPP1R13L,PPP1R13L
PPP1R14D,PPP1R14D
PPP1R15A,PPP1R15A
PPP1R7,PPP1R7
PPP1R9B,PPP1R9B
PPP6R1,PPP6R1
PPYR1,PPYR1
PRAM1,PRAM1
PRAMEF15,PRAMEF15
PRAMEF22,PRAMEF22
PRAMEF3,PRAMEF3
PRAP1,PRAP1
PRCP,PRCP
PRDX2,PRDX2
PRDX3,PRDX3
PREPL,PREPL
PRG2,PRG2
PRIC285,PRIC285
PRICKLE1,PRICKLE1
PRICKLE4,PRICKLE4
PRKCD,PRKCD
PRND,PRND
PRNP,PRNP
PROC,PROC
PROK2,PROK2
PROSER1,PROSER1
PROZ,PROZ
PRPF4,PRPF4
PRPS1L1,PRPS1L1
PRR14L,PRR14L
PRR15,PRR15
PRR18,PRR18
PRR24,PRR24
PRR9,PRR9
PRRG4,PRRG4
PRRT3,PRRT3
PRSS22,PRSS22
PRSS35,PRSS35
PRSS37,PRSS37
PRSS38,PRSS38
PRSS58,PRSS58
PRSS8,PRSS8
PRTFDC1,PRTFDC1
PRX,PRX
PSD2,PSD2
PSEN2,PSEN2
PSG5,PSG5
PSG9,PSG9
PSMA3,PSMA3
PSMB8,PSMB8
PSMC5,PSMC5
PSMD4,PSMD4
PSME1,PSME1
PSME3,PSME3
PSPHP1,PSPHP1
PTCD1,PTCD1
PTDSS2,PTDSS2
PTF1A,PTF1A
PTGER1,PTGER1
PTGER4,PTGER4
PTGIS,PTGIS
PTH1R,PTH1R
PTH2,PTH2
PTPLAD1,PTPLAD1
PTPN1,PTPN1
PTPN12,PTPN12
PTPN23,PTPN23
PTPN5,PTPN5
PTRH2,PTRH2
PTS,PTS
PTTG2,PTTG2
PUF60,PUF60
PXK,PXK
PXMP4,PXMP4
PXN,PXN
QPCTL,QPCTL
QTRT1,QTRT1
RAB10,RAB10
RAB12,RAB12
RAB2A,RAB2A
RAB3D,RAB3D
RAB3GAP2,RAB3GAP2
RAB40C,RAB40C
RAB41,RAB41
RAB5B,RAB5B
RAB6A,RAB6A
RAB6B,RAB6B
RAB7L1,RAB7L1
RABIF,RABIF
RABL3,RABL3
RACGAP1,RACGAP1
RAD51C,RAD51C
RAG1,RAG1
RANBP10,RANBP10
RANBP17,RANBP17
RANBP3,RANBP3
RANBP6,RANBP6
RAP1GAP2,RAP1GAP2
RARS2,RARS2
RASA3,RASA3
RASAL1,RASAL1
RASGEF1C,RASGEF1C
RASL10A,RASL10A
RASL11B,RASL11B
RBFA,RBFA
RBKS,RBKS
RBM25,RBM25
RBM28,RBM28
RBMXL2,RBMXL2
RBP7,RBP7
RCE1,RCE1
RCN1,RCN1
RCN3,RCN3
RCOR1,RCOR1
RCSD1,RCSD1
RDH14,RDH14
RDH16,RDH16
RECQL4,RECQL4
REG3G,REG3G
REM1,REM1
REN,REN
REP15,REP15
RER1,RER1
RETNLB,RETNLB
REXO1,REXO1
RFESD,RFESD
RFFL,RFFL
RFXANK,RFXANK
RG9MTD1,RG9MTD1
RGL2,RGL2
RGPD1,RGPD1
RGR,RGR
RGS13,RGS13
RGS14,RGS14
RGS7,RGS7
RHAG,RHAG
RHBDF2,RHBDF2
RHO,RHO
RHOA,RHOA
RHOBTB2,RHOBTB2
RHOBTB3,RHOBTB3
RHOC,RHOC
RHOG,RHOG
RHOJ,RHOJ
RHOV,RHOV
RICTOR,RICTOR
RILPL2,RILPL2
RIMBP3,RIMBP3
RIN3,RIN3
RIOK1,RIOK1
RIOK3,RIOK3
RIPK2,RIPK2
RIPPLY1,RIPPLY1
RIT2,RIT2
RLBP1,RLBP1
RMI2,RMI2
RMND1,RMND1
RNASE1,RNASE1
RNASE10,RNASE10
RNASE13,RNASE13
RNASE4,RNASE4
RNASE8,RNASE8
RNASEH2A,RNASEH2A
RNF122,RNF122
RNF138,RNF138
RNF141,RNF141
RNF150,RNF150
RNF165,RNF165
RNF186,RNF186
RNF19B,RNF19B
RNF214,RNF214
RNF224,RNF224
RNF4,RNF4
RNF40,RNF40
RNF41,RNF41
RNF43,RNF43
RNPS1,RNPS1
ROGDI,ROGDI
ROPN1,ROPN1
RPAP1,RPAP1
RPAP3,RPAP3
RPF1,RPF1
RPL11,RPL11
RPL12,RPL12
RPL18,RPL18
RPL18A,RPL18A
RPL19,RPL19
RPL22L1,RPL22L1
RPL27,RPL27
RPL32P3,RPL32P3
RPL36A-HNRNPH2,RPL36A-HNRNPH2
RPL9,RPL9
RPP25,RPP25
RPP40,RPP40
RPRD1B,RPRD1B
RPS25,RPS25
RPS4X,RPS4X
RPS6KA1,RPS6KA1
RPS6KA6,RPS6KA6
RPS6KC1,RPS6KC1
RQCD1,RQCD1
RRAS,RRAS
RRM2,RRM2
RRP7A,RRP7A
RRP8,RRP8
RRS1,RRS1
RSPH10B,RSPH10B
RSPH6A,RSPH6A
RSRC2,RSRC2
RTEL1,RTEL1
RTN1,RTN1
RTN4IP1,RTN4IP1
RTN4R,RTN4R
RTP4,RTP4
RTTN,RTTN
RUFY4,RUFY4
RXFP1,RXFP1
RXRA,RXRA
S100A1,S100A1
S100A8,S100A8
S100A9,S100A9
S100G,S100G
S1PR4,S1PR4
SAA1,SAA1
SACM1L,SACM1L
SALL2,SALL2
SALL3,SALL3
SALL4,SALL4
SAMD15,SAMD15
SAMSN1,SAMSN1
SART1,SART1
SAT2,SAT2
SATL1,SATL1
SBNO1,SBNO1
SCAMP1,SCAMP1
SCAMP2,SCAMP2
SCAND1,SCAND1
SCAND3,SCAND3
SCG5,SCG5
SCGB1A1,SCGB1A1
SCGB1C1,SCGB1C1
SCGB2A1,SCGB2A1
SCGB2A2,SCGB2A2
SCHIP1,SCHIP1
SCN2B,SCN2B
SCO2,SCO2
SCXA,SCXA
SDCBP,SDCBP
SDF2L1,SDF2L1
SDF4,SDF4
SDHAF2,SDHAF2
SDHAP1,SDHAP1
SDHB,SDHB
SDIM1,SDIM1
SDR16C5,SDR16C5
SEC16A,SEC16A
SEC16B,SEC16B
SEC23IP,SEC23IP
SEC24C,SEC24C
SELENBP1,SELENBP1
SELO,SELO
SEMA3C,SEMA3C
SEMA3E,SEMA3E
SEMA3G,SEMA3G
SEMA4D,SEMA4D
SEMA6D,SEMA6D
SEMG2,SEMG2
SENP2,SENP2
SENP5,SENP5
SERF1B,SERF1B
SERPINA10,SERPINA10
SERPINA5,SERPINA5
SERPINA6,SERPINA6
SERPINB13,SERPINB13
SERPINB2,SERPINB2
SERPINB3,SERPINB3
SERPINB8,SERPINB8
SERPINF1,SERPINF1
SERTAD1,SERTAD1
SERTAD4,SERTAD4
SETMAR,SETMAR
SF3A2,SF3A2
SFRP4,SFRP4
SFSWAP,SFSWAP
SFTPA2,SFTPA2
SFTPD,SFTPD
SFXN3,SFXN3
SGCZ,SGCZ
SGMS1,SGMS1
SH2D3A,SH2D3A
SH2D4A,SH2D4A
SH2D5,SH2D5
SH3D19,SH3D19
SH3GL2,SH3GL2
SH3GL3,SH3GL3
SH3RF1,SH3RF1
SH3RF2,SH3RF2
SHANK3,SHANK3
SHB,SHB
SHCBP1L,SHCBP1L
SHF,SHF
SHKBP1,SHKBP1
SHMT2,SHMT2
SHROOM4,SHROOM4
